turn_number,speaker,text,stage
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with MANJUNATH MALLANAGOUDA GOUDRA?",Greeting
2,User,"Yes, that's right.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes okay ma'am.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Wrong number, wrong, this is 20, 20's age.",Profile
7,Assistant,Have you ever done a job before?,Experience
8,User,"Nothing, ma'am.",NA
9,Assistant,Is Electrician (NSQF)your highest level of education?,Education
10,User,"Yes, yes ma'am.",NA
11,Assistant,"Okay, great.",NA
12,User,ITI ma'am.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Full time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Railway trip,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,BSF quarters ma'am.,NA
19,Assistant,Let me confirm your details. You are looking for a full-time job Railway trip job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,Yes yes.,NA
21,Assistant,Are you looking for a job in Vaishali Dharwad?,Intent
22,User,"No no, first PUC, second PUC ma'am.",NA
23,Assistant,What is the name of the district you are looking for a job in?,Intent
24,User,Dharwad,NA
25,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
26,User,"It's not confirmed yet, ma'am. His second PUC ITI is over, ma'am.",NA
27,Assistant,Thank you for sharing that you are looking for a job in inDharwad. Say yes to confirm or tell us any changes.,Intent
28,User,Yes yes ma'am.,NA
29,Assistant,,Empty Turn
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with SAGAR SHANKAR HOSAMANI? Hey are you still on call?",Greeting
2,User,Hmm.,NA
3,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with SAGAR SHANKAR HOSAMANI?",Greeting
4,User,Yes.,NA
5,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
6,User,Hmm.,NA
7,Assistant,Are you looking for a job right now?,Intent
8,User,"Yes, we are searching.",NA
9,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
10,User,That has changed.,NA
11,Assistant,"Okay, what is your current age?",Profile
12,User,Twenty three.,NA
13,Assistant,Have you ever done a job before?,Experience
14,User,Nothing.,NA
15,Assistant,Is Electronics Mechanic (NSQF)your highest level of education?,Education
16,User,Yes.,NA
17,Assistant,Okay. What is your highest level of education?,Education
18,User,Twelfth I.,NA
19,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
20,User,Full time job.,Job Type
21,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
22,User,We are looking for a government job.,NA
23,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
24,User,Nothing.,NA
25,Assistant,Let me confirm your details. You are looking for a full time job government job job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
26,User,Yes.,NA
27,Assistant,Are you looking for a job in Vaishali Belagavi?,Intent
28,User,Vaishali?,NA
29,Assistant,Are you looking for a job in Vaishali Belagavi?,Intent
30,User,No.,NA
31,Assistant,What is the name of the district you are looking for a job in?,Intent
32,User,We are searching in Bengaluru.,NA
33,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
34,User,Hmm,NA
35,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
36,User,Chandrapara Road.,NA
37,Assistant,"Okay, no problem. Call us if you want WhatsApp messages later. Otherwise, you will not receive hiring alerts from jobs near you.",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with MAHAMMADARAFIK MABUSAB HOSAMANI?",Greeting
2,User,Yes yes yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes, thank you.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"I am thirty-five. No, you said less.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"I have done it, right?",NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,Eight years.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,No no.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Full-time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Railway railway railway department.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,This,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,No.,NA
21,Assistant,Let me confirm your details. You are looking for a full-time job Railway department job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
22,User,No no no no.,NA
23,Assistant,Please tell me what to change.,Confirmation
24,User,"Yes, tell me.",NA
25,Assistant,Please tell me what to change.,Confirmation
26,User,So why did you bring it? Which type is it?,NA
27,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Tejas Bhagavant Suryavanshi?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,No,NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,"Yes, tell me madam.",NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,"It has been changed, madam, it is twenty.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,"No madam, we do it in the field.",NA
11,Assistant,Is BACHELOR OF ARTSyour highest level of education?,Education
12,User,What madam?,NA
13,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
14,User,Yes madam.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,Government job.,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,Government job.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help? Hey are you still on call?",Additional Needs
20,User,"Yes, I am.",NA
21,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
22,User,No ma'am.,NA
23,Assistant,Are you looking for a job in Athni Belagavi?,Intent
24,User,"We are going to the computer, madam.",NA
25,Assistant,What is the name of the district you are looking for a job in?,Intent
26,User,"We are searching for a government job, ma'am.",NA
27,Assistant,What is the name of the district you are looking for a job in?,Intent
28,User,Gurume Job All India.,NA
29,Assistant,What is the name of the district you are looking for a job in?,Intent
30,User,"District change, okay madam. Our district is Belagavi.",Location District
31,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
32,User,"No, I don't want a job, I want a government job, madam.",Intent
33,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
34,User,"Madam, I speak Hindi.",NA
35,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
36,User,What?,NA
37,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
38,User,"I want to take a government job, madam.",Intent
39,Assistant,Thank you for sharing that you are looking for a job in inBelagavi. Say yes to confirm or tell us any changes.,Intent
40,User,"No madam, I will do it.",NA
41,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
42,User,Yes madam.,NA
43,Assistant,Is this your WhatsApp Number?,WhatsApp Number
44,User,Yes.,NA
45,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Sagar Sadappa Yalashetti?",Greeting
